Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
c-shape-hoop-earrings,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0502/3016/5669/products/IMG_8621.jpg?v=1610111174,3,,,,,,,,,,,,,,,,,,,,,,
ella-double-sided-necklace,Ella Double-sided Necklace,"<meta charset=""utf-8"">
<p class=""p1"" data-mce-fragment=""1"">Simple and minimalistic double-sided pendant enamel necklace.</p>
<p class=""p1"" data-mce-fragment=""1"">MAKE SURE TO READ OUR<span data-mce-fragment=""1""> </span><a href=""https://www.shopmuses.com/pages/jewellry-care"" data-mce-fragment=""1"" data-mce-href=""https://www.shopmuses.com/pages/jewellry-care"" target=""_blank"">JEWEL CARE INSTRUCTIONS</a><span data-mce-fragment=""1""> </span>FOR HOW TO PROPERLY CARE FOR YOUR JEWELLERY. </p>
<ul class=""ul1"" data-mce-fragment=""1"">
<li class=""li1"" data-mce-fragment=""1""><span class=""s1"" data-mce-fragment=""1"">High resistance &amp; Tarnish-free</span></li>
<li class=""li1"" data-mce-fragment=""1"">
<span class=""s1"" data-mce-fragment=""1""></span>Material: Stainless Steel</li>
<li class=""li1"" data-mce-fragment=""1"">
<span class=""s1"" data-mce-fragment=""1""></span>18k Gold plated</li>
<li class=""li1"" data-mce-fragment=""1"">
<span class=""s1"" data-mce-fragment=""1""></span>Lead &amp; Nickel free</li>
<li class=""li1"" data-mce-fragment=""1"">
<span class=""s1"" data-mce-fragment=""1""></span>N.W: 4.3g</li>
<li class=""li1"" data-mce-fragment=""1"">Measurement: 42.3+6cm</li>
</ul>",MUSES.,Necklace,"jewellery, necklace, necklaces, new in, vintage",true,Title,Default Title,,,,,"",4.3,shopify,2,deny,manual,15.00,,true,false,"",https://cdn.shopify.com/s/files/1/0502/3016/5669/products/IMG_8624.jpg?v=1610110671,1,,false,,,,,,,,,,,,,,,,,g,,2.04,active
ella-double-sided-necklace,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0502/3016/5669/products/0904ee38-0099-4927-86d0-8451711a3ee8.png?v=1610110672,2,,,,,,,,,,,,,,,,,,,,,,
ella-double-sided-necklace,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0502/3016/5669/products/IMG_8617.jpg?v=1610110672,3,,,,,,,,,,,,,,,,,,,,,,
ella-double-sided-necklace,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0502/3016/5669/products/IMG_5191.jpg?v=1610110672,4,,,,,,,,,,,,,,,,,,,,,,
ella-double-sided-necklace,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0502/3016/5669/products/IMG_8616.jpg?v=1610110673,5,,,,,,,,,,,,,,,,,,,,,,
krystal-thick-chain-bracelet,Krystal Thick Chain Bracelet,"<meta charset=""utf-8"">
<p class=""p1"" data-mce-fragment=""1"">Crystal stone link chain bracelet. </p>
<p class=""p1"" data-mce-fragment=""1"">MAKE SURE TO READ OUR<span data-mce-fragment=""1""> </span><a href=""https://www.shopmuses.com/pages/jewellry-care"" target=""_blank"" data-mce-href=""https://www.shopmuses.com/pages/jewellry-care"" data-mce-fragment=""1"">JEWEL CARE INSTRUCTIONS</a><span data-mce-fragment=""1""> </span>FOR HOW TO PROPERLY CARE FOR YOUR JEWELLERY. </p>
<ul class=""ul1"" data-mce-fragment=""1"">
<li class=""li1"" data-mce-fragment=""1""><span class=""s1"" data-mce-fragment=""1"">High resistance &amp; Tarnish-free</span></li>
<li class=""li1"" data-mce-fragment=""1"">
<span class=""s1"" data-mce-fragment=""1""></span>Material: Stainless Steel</li>
<li class=""li1"" data-mce-fragment=""1"">
<span class=""s1"" data-mce-fragment=""1""></span>18k Gold plated</li>
<li class=""li1"" data-mce-fragment=""1"">
<span class=""s1"" data-mce-fragment=""1""></span>Lead &amp; Nickel free</li>
<li class=""li1"" data-mce-fragment=""1"">
<span class=""s1"" data-mce-fragment=""1""></span>N.W: 35.5g</li>
</ul>",MUSES.,bangles/bracelets,"bangles, bangles/bracelets, bracelets, jewellery, new in, vintage",true,Title,Default Title,,,,,"",35.5,shopify,2,deny,manual,20.00,,true,false,"",https://cdn.shopify.com/s/files/1/0502/3016/5669/products/IMG_5218.jpg?v=1610110260,1,,false,Gold Vintage Chain Bracelet,,,,,,,,,,,,,,,,g,,3.75,active
krystal-thick-chain-bracelet,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0502/3016/5669/products/IMG_8615.jpg?v=1610110263,2,,,,,,,,,,,,,,,,,,,,,,
krystal-thick-chain-bracelet,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0502/3016/5669/products/IMG_5238.jpg?v=1610110263,3,,,,,,,,,,,,,,,,,,,,,,
krystal-thick-chain-bracelet,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0502/3016/5669/products/IMG_8623.jpg?v=1610110263,4,,,,,,,,,,,,,,,,,,,,,,
krystal-thick-chain-bracelet,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0502/3016/5669/products/IMG_5220.jpg?v=1610110263,5,,,,,,,,,,,,,,,,,,,,,,
mimi-mini-pu-bag,MIMI mini PU Bag,"<meta charset=""utf-8"">
<p class=""p1"" data-mce-fragment=""1""><b data-mce-fragment=""1"">Specifications:</b> (Width) 12.5cm <br data-mce-fragment=""1""></p>
<p class=""p1"" data-mce-fragment=""1"">                          (Height) 9cm  </p>
<p class=""p1"" data-mce-fragment=""1""><b data-mce-fragment=""1"">Material:</b> PU Leather/ Polyester lining.</p>
<p class=""p1"" data-mce-fragment=""1""><b data-mce-fragment=""1"">Closure: Flap/ Buckle strap</b></p>",MUSES.,Bags,"bags, baguette bag, new in, shoulder bag",true,Color,Orange,,,,,"",125.0,shopify,1,deny,manual,15.00,,true,true,"",https://cdn.shopify.com/s/files/1/0502/3016/5669/products/IMG_5856.jpg?v=1607918137,1,,false,,,,,,,,,,,,,,,,,g,,,active
mimi-mini-pu-bag,,,,,,,,Black,,,,,"",125.0,shopify,1,deny,manual,15.00,,true,true,"",https://cdn.shopify.com/s/files/1/0502/3016/5669/products/IMG_5765.jpg?v=1607918138,2,,,,,,,,,,,,,,,,,,,g,,,
mimi-mini-pu-bag,,,,,,,,Cream,,,,,"",125.0,shopify,1,deny,manual,15.00,,true,true,"",https://cdn.shopify.com/s/files/1/0502/3016/5669/products/IMG_7270.jpg?v=1607918138,3,,,,,,,,,,,,,,,,,,,g,,,
mimi-mini-pu-bag,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0502/3016/5669/products/IMG_5764.jpg?v=1607918138,4,,,,,,,,,,,,,,,,,,,,,,
